ID_Produto,Data_Producao,Tempo_Producao,Tempo_Setup,Quantidade_Produzida
P2499,2024-01-08,139,56,48
P2500,2024-01-11,109,16,97
P2501,2024-01-02,60,56,51
P2502,2024-01-06,74,43,51
P2503,2024-01-10,175,16,29
P2504,2024-01-23,47,48,72
P2505,2024-01-12,197,23,57
P2506,2024-01-05,180,31,11
P2507,2024-01-14,113,27,77
P2508,2024-01-12,51,26,28
P2509,2024-01-09,67,51,21
P2510,2024-01-28,119,39,23
P2511,2024-01-19,216,53,16
P2512,2024-01-23,69,13,15
P2513,2024-01-05,46,38,98
P2514,2024-01-12,179,20,10
P2515,2024-01-21,96,48,97
P2516,2024-01-29,191,39,47
P2517,2024-01-27,67,39,54
P2518,2024-01-11,126,57,62
P2519,2024-01-20,190,28,14
P2520,2024-01-07,74,52,78
P2521,2024-01-22,40,55,60
P2522,2024-01-06,214,51,100
P2523,2024-01-28,30,24,74
P2524,2024-01-17,183,54,28
P2525,2024-01-29,161,54,19
P2526,2024-01-15,87,19,15
P2527,2024-01-01,94,55,43
P2528,2024-01-31,65,58,56
P2529,2024-01-11,95,36,89
P2530,2024-01-13,175,53,83
P2531,2024-01-08,190,56,78
P2532,2024-01-28,226,11,85
P2533,2024-01-29,187,13,33
P2534,2024-01-18,111,59,80
P2535,2024-01-24,229,59,83
P2536,2024-01-31,236,51,18
P2537,2024-01-12,41,26,21
P2538,2024-01-20,173,38,40
P2539,2024-01-04,61,49,45
P2540,2024-01-20,34,18,95
P2541,2024-01-23,200,36,20
P2542,2024-01-03,166,15,39
P2543,2024-01-14,67,20,87
P2544,2024-01-17,161,21,77
P2545,2024-01-16,58,56,86
P2546,2024-01-09,114,36,93
P2547,2024-01-12,182,54,100
P2548,2024-01-18,109,30,82
P2549,2024-01-12,187,45,91
P2550,2024-01-10,151,59,79
P2551,2024-01-24,112,54,52
P2552,2024-01-25,144,48,38
P2553,2024-01-05,85,33,22
P2554,2024-01-23,203,36,32
P2555,2024-01-16,56,23,47
P2556,2024-01-19,210,12,17
P2557,2024-01-01,95,37,81
P2558,2024-01-20,112,47,21
P2559,2024-01-26,154,29,31
P2560,2024-01-04,76,16,27
P2561,2024-01-27,161,30,36
P2562,2024-01-05,149,46,73
P2563,2024-01-29,82,32,82
P2564,2024-01-30,151,46,99
P2565,2024-01-05,189,39,62
P2566,2024-01-23,193,50,95
P2567,2024-01-02,193,14,24
P2568,2024-01-08,63,32,91
P2569,2024-01-12,82,47,47
P2570,2024-01-11,63,53,22
P2571,2024-01-25,141,33,16
P2572,2024-01-15,121,55,40
P2573,2024-01-23,179,28,27
P2574,2024-01-11,83,39,25
P2575,2024-01-25,236,48,72
P2576,2024-01-20,209,60,36
P2577,2024-01-03,174,39,10
P2578,2024-01-07,93,58,28
P2579,2024-01-17,47,12,82
P2580,2024-01-23,175,50,28
P2581,2024-01-25,224,16,47
P2582,2024-01-13,164,13,10
P2583,2024-01-15,135,32,42
P2584,2024-01-16,87,21,19
P2585,2024-01-05,51,29,52
P2586,2024-01-25,196,20,98
P2587,2024-01-18,95,60,81
P2588,2024-01-19,101,60,33
P2589,2024-01-06,179,54,43
P2590,2024-01-30,195,38,22
P2591,2024-01-05,169,38,25
P2592,2024-01-13,178,53,21
P2593,2024-01-19,118,45,92
P2594,2024-01-02,132,57,70
P2595,2024-01-31,214,14,26
P2596,2024-01-22,79,50,90
P2597,2024-01-10,60,18,82
P2598,2024-01-19,39,49,70
P2599,2024-01-17,74,41,95
P2600,2024-01-17,188,59,64
P2601,2024-01-23,219,16,73
P2602,2024-01-22,191,52,76
P2603,2024-01-29,190,18,48
P2604,2024-01-09,60,56,75
P2605,2024-01-27,33,23,58
P2606,2024-01-06,120,58,11
P2607,2024-01-15,39,22,33
P2608,2024-01-25,141,58,97
P2609,2024-01-11,222,44,89
P2610,2024-01-12,140,11,18
P2611,2024-01-16,151,59,45
P2612,2024-01-24,206,29,72
P2613,2024-01-25,111,19,83
P2614,2024-01-03,185,30,40
P2615,2024-01-13,40,52,21
P2616,2024-01-27,113,15,95
P2617,2024-01-02,198,54,71
P2618,2024-01-15,139,39,28
P2619,2024-01-19,236,19,44
P2620,2024-01-06,128,33,90
P2621,2024-01-29,135,29,53
P2622,2024-01-26,217,58,82
P2623,2024-01-22,191,22,41
P2624,2024-01-21,197,23,78
P2625,2024-01-17,91,43,93
P2626,2024-01-09,216,43,60
P2627,2024-01-26,89,47,67
P2628,2024-01-06,93,59,15
P2629,2024-01-28,40,11,46
P2630,2024-01-03,235,15,36
P2631,2024-01-26,82,55,47
P2632,2024-01-21,132,26,55
P2633,2024-01-13,136,52,50
P2634,2024-01-31,108,16,73
P2635,2024-01-20,47,12,73
P2636,2024-01-08,111,11,42
P2637,2024-01-04,47,49,79
P2638,2024-01-19,38,20,75
P2639,2024-01-28,183,28,60
P2640,2024-01-01,35,48,88
P2641,2024-01-24,62,51,35
P2642,2024-01-01,201,57,21
P2643,2024-01-23,49,52,85
P2644,2024-01-19,55,36,21
P2645,2024-01-05,143,40,99
P2646,2024-01-20,33,37,58
P2647,2024-01-20,193,23,92
P2648,2024-01-12,66,51,82
P2649,2024-01-29,237,49,94
P2650,2024-01-26,160,27,19
P2651,2024-01-27,138,33,89
P2652,2024-01-24,152,54,14
P2653,2024-01-18,187,39,40
P2654,2024-01-06,96,14,74
P2655,2024-01-03,231,51,48
P2656,2024-01-13,159,24,30
P2657,2024-01-26,35,29,27
P2658,2024-01-18,177,57,55
P2659,2024-01-09,40,44,52
P2660,2024-01-12,191,47,93
P2661,2024-01-06,224,45,51
P2662,2024-01-25,158,53,70
P2663,2024-01-30,143,60,96
P2664,2024-01-23,112,54,57
P2665,2024-01-15,38,21,89
P2666,2024-01-12,66,32,96
P2667,2024-01-24,163,10,82
P2668,2024-01-13,188,55,80
P2669,2024-01-19,66,32,24
P2670,2024-01-11,63,52,36
P2671,2024-01-30,120,59,85
P2672,2024-01-03,95,50,37
P2673,2024-01-10,128,32,76
P2674,2024-01-19,81,29,88
P2675,2024-01-21,98,30,26
P2676,2024-01-16,84,23,38
P2677,2024-01-21,66,47,76
P2678,2024-01-02,161,45,92
P2679,2024-01-03,224,53,87
P2680,2024-01-05,146,58,82
P2681,2024-01-23,169,53,92
P2682,2024-01-18,100,27,69
P2683,2024-01-27,159,22,84
P2684,2024-01-26,122,59,25
P2685,2024-01-02,102,30,64
P2686,2024-01-17,204,51,46
P2687,2024-01-01,231,59,30
P2688,2024-01-16,46,51,83
P2689,2024-01-16,205,24,34
P2690,2024-01-18,210,49,44
P2691,2024-01-03,62,30,59
P2692,2024-01-26,110,24,76
P2693,2024-01-04,112,26,62
P2694,2024-01-17,190,22,22
P2695,2024-01-23,78,57,31
P2696,2024-01-27,186,49,70
P2697,2024-01-12,168,29,12
P2698,2024-01-10,144,22,82
P2699,2024-01-04,232,38,58
P2700,2024-01-24,158,19,80
P2701,2024-01-31,197,15,40
P2702,2024-01-30,120,48,71
P2703,2024-01-25,87,55,20
P2704,2024-01-21,58,41,37
P2705,2024-01-10,55,32,53
P2706,2024-01-17,205,33,33
P2707,2024-01-30,215,37,14
P2708,2024-01-03,216,44,14
P2709,2024-01-28,55,26,84
P2710,2024-01-13,76,17,95
P2711,2024-01-19,213,23,95
P2712,2024-01-14,195,54,64
P2713,2024-01-14,195,29,51
P2714,2024-01-30,58,52,19
P2715,2024-01-07,64,58,69
P2716,2024-01-28,219,15,45
P2717,2024-01-01,138,59,48
P2718,2024-01-13,132,34,57
P2719,2024-01-25,93,34,79
P2720,2024-01-13,50,59,27
P2721,2024-01-07,168,29,11
P2722,2024-01-01,44,14,22
P2723,2024-01-12,201,19,17
P2724,2024-01-27,183,47,28
P2725,2024-01-04,93,28,59
P2726,2024-01-29,178,11,45
P2727,2024-01-10,164,31,73
P2728,2024-01-31,106,26,79
P2729,2024-01-17,224,28,40
P2730,2024-01-07,228,17,25
P2731,2024-01-26,47,54,88
P2732,2024-01-02,55,48,61
P2733,2024-01-03,205,30,65
P2734,2024-01-27,63,59,80
P2735,2024-01-01,97,29,15
P2736,2024-01-07,184,16,100
P2737,2024-01-05,240,37,62
P2738,2024-01-20,212,26,98
P2739,2024-01-25,229,11,55
P2740,2024-01-16,51,31,92
P2741,2024-01-30,35,34,66
P2742,2024-01-07,229,37,19
P2743,2024-01-06,106,15,29
P2744,2024-01-02,197,60,51
P2745,2024-01-31,37,35,54
P2746,2024-01-03,178,26,22
P2747,2024-01-23,68,31,82
P2748,2024-01-24,141,49,45
P2749,2024-01-21,139,10,39
P2750,2024-01-02,181,13,38
P2751,2024-01-30,105,14,24
P2752,2024-01-01,38,24,70
P2753,2024-01-24,100,49,56
P2754,2024-01-19,216,52,15
P2755,2024-01-22,36,17,43
P2756,2024-01-12,157,37,13
P2757,2024-01-04,93,60,70
P2758,2024-01-25,209,56,83
P2759,2024-01-01,38,50,10
P2760,2024-01-13,62,41,69
P2761,2024-01-21,159,44,64
P2762,2024-01-31,185,18,33
P2763,2024-01-26,154,32,68
P2764,2024-01-04,166,11,49
P2765,2024-01-08,66,45,85
P2766,2024-01-05,169,29,42
P2767,2024-01-20,191,18,11
P2768,2024-01-14,225,58,60
P2769,2024-01-19,77,32,22
P2770,2024-01-31,105,40,91
P2771,2024-01-08,239,13,21
P2772,2024-01-02,214,16,75
P2773,2024-01-14,157,14,48
P2774,2024-01-20,203,43,55
P2775,2024-01-27,238,58,75
P2776,2024-01-07,48,18,98
P2777,2024-01-18,57,57,52
P2778,2024-01-06,157,31,89
P2779,2024-01-02,51,40,97
P2780,2024-01-13,169,51,52
P2781,2024-01-31,225,56,13
P2782,2024-01-01,217,41,57
P2783,2024-01-30,72,32,81
P2784,2024-01-14,139,17,23
P2785,2024-01-09,95,60,60
P2786,2024-01-15,198,58,32
P2787,2024-01-11,238,35,54
P2788,2024-01-30,57,17,64
P2789,2024-01-24,135,15,92
P2790,2024-01-17,159,54,53
P2791,2024-01-30,62,45,31
P2792,2024-01-20,162,26,94
P2793,2024-01-05,190,12,46
P2794,2024-01-30,205,18,78
P2795,2024-01-12,208,54,42
P2796,2024-01-28,141,43,46
P2797,2024-01-17,131,27,43
P2798,2024-01-27,91,50,72
P2799,2024-01-07,227,51,80
P2800,2024-01-19,59,11,30
P2801,2024-01-14,139,53,13
P2802,2024-01-26,30,57,31
P2803,2024-01-30,85,31,91
P2804,2024-01-29,237,10,70
P2805,2024-01-23,180,40,29
P2806,2024-01-11,30,19,91
P2807,2024-01-29,68,34,90
P2808,2024-01-06,154,58,52
P2809,2024-01-11,123,14,11
P2810,2024-01-21,47,37,96
P2811,2024-01-17,109,36,15
P2812,2024-01-03,151,15,43
P2813,2024-01-30,124,47,68
P2814,2024-01-18,60,44,32
P2815,2024-01-02,35,17,50
P2816,2024-01-10,59,37,50
P2817,2024-01-22,226,28,11
P2818,2024-01-27,182,39,96
P2819,2024-01-20,163,33,70
P2820,2024-01-30,136,24,94
P2821,2024-01-05,140,18,24
P2822,2024-01-12,116,20,31
P2823,2024-01-06,35,40,38
P2824,2024-01-01,194,18,45
P2825,2024-01-14,155,27,49
P2826,2024-01-18,71,24,29
P2827,2024-01-19,201,16,65
P2828,2024-01-11,211,47,82
P2829,2024-01-18,148,32,80
P2830,2024-01-25,131,28,82
P2831,2024-01-12,176,29,89
P2832,2024-01-26,80,35,68
P2833,2024-01-06,217,12,18
P2834,2024-01-23,216,39,97
P2835,2024-01-09,75,38,55
P2836,2024-01-02,46,32,99
P2837,2024-01-24,109,19,98
P2838,2024-01-22,126,34,72
P2839,2024-01-25,74,42,65
P2840,2024-01-21,171,27,93
P2841,2024-01-06,81,30,51
P2842,2024-01-19,189,35,71
P2843,2024-01-09,33,23,22
P2844,2024-01-21,195,43,64
P2845,2024-01-28,65,45,88
P2846,2024-01-10,180,10,78
P2847,2024-01-28,208,41,80
P2848,2024-01-16,207,26,90
P2849,2024-01-15,220,40,43
P2850,2024-01-14,73,36,72
P2851,2024-01-26,236,38,87
P2852,2024-01-11,229,19,21
P2853,2024-01-05,174,25,10
P2854,2024-01-21,175,52,78
P2855,2024-01-09,90,27,20
P2856,2024-01-22,89,19,20
P2857,2024-01-01,140,13,88
P2858,2024-01-27,107,27,51
P2859,2024-01-02,236,34,85
P2860,2024-01-28,87,49,11
P2861,2024-01-16,177,49,86
P2862,2024-01-23,168,46,75
P2863,2024-01-12,177,54,22
P2864,2024-01-22,78,13,77
P2865,2024-01-15,163,45,69
P2866,2024-01-11,53,50,18
P2867,2024-01-05,86,16,62
P2868,2024-01-09,227,45,25
P2869,2024-01-22,233,21,11
P2870,2024-01-09,221,49,79
P2871,2024-01-28,46,21,22
P2872,2024-01-11,234,23,12
P2873,2024-01-27,182,60,25
P2874,2024-01-02,114,51,80
P2875,2024-01-14,45,28,88
P2876,2024-01-27,194,51,96
P2877,2024-01-02,119,60,28
P2878,2024-01-17,217,31,15
P2879,2024-01-21,54,25,27
P2880,2024-01-14,97,57,38
P2881,2024-01-14,205,33,38
P2882,2024-01-18,207,11,20
P2883,2024-01-19,179,12,79
P2884,2024-01-20,135,21,28
P2885,2024-01-19,44,29,24
P2886,2024-01-20,125,53,79
P2887,2024-01-06,109,32,31
P2888,2024-01-17,32,24,41
P2889,2024-01-21,88,43,39
P2890,2024-01-30,81,43,88
P2891,2024-01-15,148,11,43
P2892,2024-01-24,151,58,74
P2893,2024-01-24,111,28,82
P2894,2024-01-03,32,30,15
P2895,2024-01-20,190,11,74
P2896,2024-01-12,200,14,91
P2897,2024-01-19,57,53,75
P2898,2024-01-26,136,10,69
P2899,2024-01-28,106,56,92
P2900,2024-01-03,193,31,11
P2901,2024-01-29,222,39,14
P2902,2024-01-31,151,19,98
P2903,2024-01-03,220,25,16
P2904,2024-01-31,213,52,98
P2905,2024-01-14,34,11,59
P2906,2024-01-28,206,14,63
P2907,2024-01-31,212,13,75
P2908,2024-01-27,229,34,66
P2909,2024-01-16,103,49,57
P2910,2024-01-02,187,15,48
P2911,2024-01-10,142,31,86
P2912,2024-01-14,32,13,20
P2913,2024-01-03,30,43,21
P2914,2024-01-08,209,26,78
P2915,2024-01-25,45,50,87
P2916,2024-01-31,75,27,64
P2917,2024-01-30,33,10,64
P2918,2024-01-29,52,31,82
P2919,2024-01-20,217,18,88
P2920,2024-01-19,153,52,17
P2921,2024-01-06,120,48,95
P2922,2024-01-04,169,54,64
P2923,2024-01-27,32,27,47
P2924,2024-01-18,84,51,14
P2925,2024-01-11,181,29,58
P2926,2024-01-27,131,14,30
P2927,2024-01-22,206,37,43
P2928,2024-01-01,32,13,33
P2929,2024-01-14,65,39,41
P2930,2024-01-19,110,30,35
P2931,2024-01-25,218,54,24
P2932,2024-01-07,199,19,91
P2933,2024-01-26,172,33,94
P2934,2024-01-12,177,51,67
P2935,2024-01-12,169,21,96
P2936,2024-01-09,107,37,43
P2937,2024-01-21,126,42,65
P2938,2024-01-20,177,35,37
P2939,2024-01-04,112,41,47
P2940,2024-01-07,137,59,75
P2941,2024-01-29,228,35,30
P2942,2024-01-07,157,14,47
P2943,2024-01-14,130,41,55
P2944,2024-01-21,34,53,44
P2945,2024-01-10,67,38,70
P2946,2024-01-25,240,53,10
P2947,2024-01-03,82,27,12
P2948,2024-01-10,165,37,92
P2949,2024-01-15,235,12,36
P2950,2024-01-16,187,23,82
P2951,2024-01-23,63,43,97
P2952,2024-01-18,226,17,47
P2953,2024-01-07,104,45,26
P2954,2024-01-30,193,44,11
P2955,2024-01-22,122,35,46
P2956,2024-01-26,135,19,48
P2957,2024-01-10,81,57,42
P2958,2024-01-13,69,21,48
P2959,2024-01-25,178,41,64
P2960,2024-01-21,44,26,24
P2961,2024-01-25,149,41,71
P2962,2024-01-27,238,56,10
P2963,2024-01-09,190,51,18
P2964,2024-01-02,223,59,97
P2965,2024-01-10,233,44,90
P2966,2024-01-06,128,25,22
P2967,2024-01-19,172,47,28
P2968,2024-01-27,161,56,31
P2969,2024-01-14,222,52,10
P2970,2024-01-29,155,13,59
P2971,2024-01-15,130,31,88
P2972,2024-01-08,134,39,18
P2973,2024-01-15,79,51,82
P2974,2024-01-16,85,44,61
P2975,2024-01-08,104,29,90
P2976,2024-01-18,30,47,31
P2977,2024-01-08,198,36,37
P2978,2024-01-14,140,14,97
P2979,2024-01-20,55,14,25
P2980,2024-01-31,73,45,86
P2981,2024-01-19,39,18,97
P2982,2024-01-18,166,20,46
P2983,2024-01-19,182,20,41
P2984,2024-01-01,148,19,79
P2985,2024-01-08,69,33,76
P2986,2024-01-06,51,60,86
P2987,2024-01-08,179,42,32
P2988,2024-01-16,35,42,65
P2989,2024-01-14,41,24,82
P2990,2024-01-07,53,50,95
P2991,2024-01-15,48,59,11
P2992,2024-01-02,102,24,92
P2993,2024-01-11,115,52,55
P2994,2024-01-31,196,48,78
P2995,2024-01-04,64,17,20
P2996,2024-01-30,109,43,56
P2997,2024-01-11,112,18,90
P2998,2024-01-03,176,43,81
P2999,2024-01-26,95,26,19
P3000,2024-01-18,176,45,22
P3001,2024-01-27,139,13,71
P3002,2024-01-13,78,47,67
P3003,2024-01-15,80,60,74
P3004,2024-01-18,211,25,100
P3005,2024-01-31,166,54,23
P3006,2024-01-07,215,38,91
P3007,2024-01-12,135,44,88
P3008,2024-01-16,186,59,66
P3009,2024-01-09,148,17,27
P3010,2024-01-30,227,53,74
P3011,2024-01-03,48,57,24
P3012,2024-01-13,137,35,43
P3013,2024-01-11,88,41,97
P3014,2024-01-16,125,17,56
P3015,2024-01-16,84,11,59
P3016,2024-01-13,185,34,15
P3017,2024-01-26,50,33,78
P3018,2024-01-14,167,21,28
P3019,2024-01-07,125,34,74
P3020,2024-01-22,168,44,53
P3021,2024-01-31,191,47,88
P3022,2024-01-25,215,17,61
P3023,2024-01-21,117,33,69
P3024,2024-01-30,235,39,35
P3025,2024-01-07,39,40,85
P3026,2024-01-16,94,18,60
P3027,2024-01-26,63,55,25
P3028,2024-01-04,166,50,48
P3029,2024-01-16,163,48,39
P3030,2024-01-01,117,29,59
P3031,2024-01-22,91,17,57
P3032,2024-01-14,169,23,29
P3033,2024-01-02,220,53,36
P3034,2024-01-31,158,10,99
P3035,2024-01-08,179,49,27
P3036,2024-01-09,213,48,10
P3037,2024-01-02,30,30,78
P3038,2024-01-18,84,31,15
P3039,2024-01-02,162,17,45
P3040,2024-01-29,110,21,75
P3041,2024-01-15,229,12,64
P3042,2024-01-24,168,14,66
P3043,2024-01-16,170,22,54
P3044,2024-01-21,214,48,68
P3045,2024-01-17,53,53,29
P3046,2024-01-12,192,56,49
P3047,2024-01-08,125,47,29
P3048,2024-01-26,177,16,100
P3049,2024-01-08,182,24,59
P3050,2024-01-01,121,23,50
P3051,2024-01-08,110,12,64
P3052,2024-01-12,70,56,80
P3053,2024-01-24,52,55,69
P3054,2024-01-14,194,14,65
P3055,2024-01-27,79,45,61
P3056,2024-01-29,82,23,67
P3057,2024-01-26,188,11,96
P3058,2024-01-04,131,16,21
P3059,2024-01-01,229,11,46
P3060,2024-01-23,111,42,100
P3061,2024-01-30,226,54,47
P3062,2024-01-24,148,20,26
P3063,2024-01-28,183,34,39
P3064,2024-01-02,181,17,82
P3065,2024-01-30,211,54,63
P3066,2024-01-28,121,48,46
P3067,2024-01-11,186,21,30
P3068,2024-01-08,83,54,41
P3069,2024-01-31,83,35,25
P3070,2024-01-02,208,36,57
P3071,2024-01-15,112,14,95
P3072,2024-01-27,164,32,53
P3073,2024-01-15,136,33,95
P3074,2024-01-14,238,22,26
P3075,2024-01-26,80,29,74
P3076,2024-01-16,213,28,26
P3077,2024-01-15,90,12,85
P3078,2024-01-05,174,11,38
P3079,2024-01-22,183,34,12
P3080,2024-01-12,155,35,46
P3081,2024-01-25,142,38,46
P3082,2024-01-28,56,11,48
P3083,2024-01-02,239,26,25
P3084,2024-01-11,37,45,22
P3085,2024-01-09,199,59,81
P3086,2024-01-24,31,57,18
P3087,2024-01-07,152,54,50
P3088,2024-01-31,98,55,74
P3089,2024-01-27,108,49,15
P3090,2024-01-02,74,57,25
P3091,2024-01-15,167,41,17
P3092,2024-01-27,171,43,15
P3093,2024-01-03,31,51,57
P3094,2024-01-30,203,58,91
P3095,2024-01-26,46,23,94
P3096,2024-01-10,160,40,44
P3097,2024-01-06,174,35,32
P3098,2024-01-21,154,48,69
P3099,2024-01-12,147,30,72
P3100,2024-01-17,148,21,83
P3101,2024-01-22,94,15,93
P3102,2024-01-01,181,21,28
P3103,2024-01-19,55,57,91
P3104,2024-01-27,158,53,61
P3105,2024-01-14,198,18,37
P3106,2024-01-04,42,58,74
P3107,2024-01-20,174,54,84
P3108,2024-01-17,120,10,74
P3109,2024-01-12,159,51,67
P3110,2024-01-04,164,35,89
P3111,2024-01-31,69,44,26
P3112,2024-01-24,192,25,42
P3113,2024-01-06,149,37,59
P3114,2024-01-19,194,60,59
P3115,2024-01-17,163,54,74
P3116,2024-01-08,208,12,28
P3117,2024-01-31,158,56,65
P3118,2024-01-17,88,17,56
P3119,2024-01-25,83,18,37
P3120,2024-01-09,67,54,72
P3121,2024-01-20,113,17,46
P3122,2024-01-15,66,45,92
P3123,2024-01-30,99,52,15
P3124,2024-01-07,111,60,19
P3125,2024-01-30,156,39,79
P3126,2024-01-22,122,47,99
P3127,2024-01-20,137,20,52
P3128,2024-01-16,204,43,46
P3129,2024-01-08,81,46,15
P3130,2024-01-17,172,37,25
P3131,2024-01-24,148,58,29
P3132,2024-01-25,30,36,97
P3133,2024-01-12,188,48,100
P3134,2024-01-05,187,43,34
P3135,2024-01-15,238,47,77
P3136,2024-01-24,183,58,99
P3137,2024-01-24,42,42,96
P3138,2024-01-10,131,43,65
P3139,2024-01-06,157,21,17
P3140,2024-01-07,54,36,21
P3141,2024-01-28,113,13,85
P3142,2024-01-23,42,60,12
P3143,2024-01-22,48,25,83
P3144,2024-01-21,30,34,81
P3145,2024-01-31,221,45,96
P3146,2024-01-02,89,33,22
P3147,2024-01-14,122,47,76
P3148,2024-01-29,136,40,50
P3149,2024-01-26,70,27,32
P3150,2024-01-08,47,48,14
P3151,2024-01-31,75,10,57
P3152,2024-01-19,50,60,51
P3153,2024-01-17,88,19,28
P3154,2024-01-04,105,31,21
P3155,2024-01-06,103,22,89
P3156,2024-01-16,237,60,85
P3157,2024-01-09,140,52,94
P3158,2024-01-18,68,33,17
P3159,2024-01-20,198,12,57
P3160,2024-01-23,74,40,89
P3161,2024-01-30,61,49,29
P3162,2024-01-14,93,22,97
P3163,2024-01-03,168,21,78
P3164,2024-01-03,187,45,35
P3165,2024-01-07,186,50,72
P3166,2024-01-31,109,32,58
P3167,2024-01-26,57,30,55
P3168,2024-01-18,181,27,44
P3169,2024-01-17,122,22,92
P3170,2024-01-18,98,55,30
P3171,2024-01-15,122,19,77
P3172,2024-01-31,132,48,13
P3173,2024-01-28,116,16,44
P3174,2024-01-30,139,36,55
P3175,2024-01-08,112,18,27
P3176,2024-01-26,182,41,45
P3177,2024-01-02,165,59,81
P3178,2024-01-22,120,27,91
P3179,2024-01-02,185,42,90
P3180,2024-01-03,114,55,75
P3181,2024-01-08,37,38,46
P3182,2024-01-17,85,57,42
P3183,2024-01-27,175,13,42
P3184,2024-01-01,74,32,41
P3185,2024-01-31,111,36,87
P3186,2024-01-24,73,45,61
P3187,2024-01-05,89,17,90
P3188,2024-01-11,180,59,97
P3189,2024-01-11,78,28,97
P3190,2024-01-16,194,42,52
P3191,2024-01-24,221,56,92
P3192,2024-01-04,187,47,31
P3193,2024-01-02,37,16,47
P3194,2024-01-26,107,56,98
P3195,2024-01-14,136,15,38
P3196,2024-01-13,62,16,29
P3197,2024-01-22,143,43,69
P3198,2024-01-09,82,36,84
P3199,2024-01-10,210,25,68
P3200,2024-01-14,240,58,79
P3201,2024-01-27,75,14,21
P3202,2024-01-12,143,52,35
P3203,2024-01-26,170,59,16
P3204,2024-01-30,116,17,36
P3205,2024-01-21,197,44,82
P3206,2024-01-02,78,30,73
P3207,2024-01-23,134,21,48
P3208,2024-01-09,50,35,58
P3209,2024-01-26,225,37,57
P3210,2024-01-03,167,19,66
P3211,2024-01-06,140,16,83
P3212,2024-01-29,220,17,73
P3213,2024-01-10,111,58,83
P3214,2024-01-16,47,18,66
P3215,2024-01-15,203,16,72
P3216,2024-01-02,181,20,26
P3217,2024-01-06,74,34,40
P3218,2024-01-07,139,12,42
P3219,2024-01-04,43,10,52
P3220,2024-01-01,140,48,96
P3221,2024-01-03,82,12,89
P3222,2024-01-18,49,16,73
P3223,2024-01-07,237,53,96
P3224,2024-01-08,100,33,47
P3225,2024-01-28,185,37,87
P3226,2024-01-27,231,56,90
P3227,2024-01-25,111,33,85
P3228,2024-01-16,96,35,55
P3229,2024-01-25,196,30,79
P3230,2024-01-26,73,17,57
P3231,2024-01-19,224,25,37
P3232,2024-01-16,73,22,45
P3233,2024-01-25,163,21,13
P3234,2024-01-07,209,55,10
P3235,2024-01-06,64,43,70
P3236,2024-01-09,188,15,85
P3237,2024-01-29,109,47,48
P3238,2024-01-05,209,14,22
P3239,2024-01-26,127,39,29
P3240,2024-01-13,145,17,99
P3241,2024-01-06,170,17,89
P3242,2024-01-16,103,41,10
P3243,2024-01-05,226,51,34
P3244,2024-01-30,236,16,64
P3245,2024-01-25,197,57,11
P3246,2024-01-17,177,56,31
P3247,2024-01-28,54,47,90
P3248,2024-01-18,116,39,68
P3249,2024-01-18,150,57,65
P3250,2024-01-14,103,29,13
P3251,2024-01-13,209,55,28
P3252,2024-01-05,192,14,61
P3253,2024-01-14,139,35,16
P3254,2024-01-29,32,52,63
P3255,2024-01-15,216,33,97
P3256,2024-01-17,30,15,92
P3257,2024-01-20,207,26,61
P3258,2024-01-29,51,53,19
P3259,2024-01-14,30,15,77
P3260,2024-01-08,129,54,75
P3261,2024-01-01,131,39,41
P3262,2024-01-27,173,13,73
P3263,2024-01-12,52,28,62
P3264,2024-01-08,132,32,11
P3265,2024-01-16,183,60,48
P3266,2024-01-08,74,34,95
P3267,2024-01-10,188,15,81
P3268,2024-01-30,215,55,33
P3269,2024-01-02,228,40,51
P3270,2024-01-25,174,14,64
P3271,2024-01-31,223,40,49
P3272,2024-01-30,171,19,49
P3273,2024-01-10,133,60,37
P3274,2024-01-25,78,47,91
P3275,2024-01-31,56,14,49
P3276,2024-01-16,175,49,57
P3277,2024-01-16,142,22,53
P3278,2024-01-25,92,21,91
P3279,2024-01-14,119,34,93
P3280,2024-01-23,140,42,34
P3281,2024-01-14,75,22,99
P3282,2024-01-27,229,46,76
P3283,2024-01-27,236,57,83
P3284,2024-01-22,155,48,12
P3285,2024-01-13,118,11,68
P3286,2024-01-20,169,43,52
P3287,2024-01-06,75,20,72
P3288,2024-01-22,69,60,98
P3289,2024-01-02,206,38,100
P3290,2024-01-31,100,24,86
P3291,2024-01-21,97,32,51
P3292,2024-01-30,191,24,96
P3293,2024-01-28,203,54,71
P3294,2024-01-04,87,53,18
P3295,2024-01-13,145,39,50
P3296,2024-01-29,33,47,35
P3297,2024-01-25,109,12,18
P3298,2024-01-23,102,48,68
P3299,2024-01-01,174,45,60
P3300,2024-01-06,100,44,72
P3301,2024-01-12,38,12,41
P3302,2024-01-07,53,15,50
P3303,2024-01-10,89,22,41
P3304,2024-01-07,34,47,25
P3305,2024-01-09,54,52,97
P3306,2024-01-05,202,12,18
P3307,2024-01-28,192,27,65
P3308,2024-01-15,172,18,39
P3309,2024-01-01,189,38,79
P3310,2024-01-10,109,32,19
P3311,2024-01-28,232,40,83
P3312,2024-01-02,150,20,41
P3313,2024-01-28,155,57,57
P3314,2024-01-05,142,17,10
P3315,2024-01-10,182,50,48
P3316,2024-01-09,76,35,17
P3317,2024-01-14,157,41,74
P3318,2024-01-29,114,58,18
P3319,2024-01-01,228,16,78
